channel_id,source,path,relative_path,bytes,sha256,ports_from_suffix,status,ports,points,f_min_hz,f_max_hz,z0_summary,supported_v1,dominant_path,dominant_output_port,dominant_input_port,dominant_peak_mag_db,max_reflection_mag_db,duplicate_count,duplicate_group
Agilent_E5071B_4f4fd1d7,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\Agilent_E5071B.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Agilent_E5071B.s4p,99998,06193c7f8956664e90461987a8b7d3ea2c4323f6fec8f3a175f0b64098e77548,4,ok,4,205,500000000.0,4500000000.0,75;75;75;75;75;75;75;75...,True,S12,1,2,-1.2159080000000004,-0.22759919999999995,1,
Clarity_example_acf20e4a,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\Clarity_example.S2P,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/Clarity_example.S2P,6728,00e503eebf5ad3aae2b95f4a272a3d56235e4329e5f8387588db17e55e430b78,2,ok,2,40,50000000.0,2000000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-0.02039039622382636,-21.811269623720328,1,
cst_example_4ports_e82e6e67,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\cst_example_4ports.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_4ports.s4p,356554,a76ae58187ff3eed490b4f422abe41f3d0702a1bad49d1db6a0186a23abd4048,4,ok,4,601,0.0,60000000.0,50;50;50;50;50;50;50;50...,True,S12,1,2,-3.9616268476371874,-5.211549417459904e-05,1,
cst_example_6ports_6e1e1a50,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\cst_example_6ports.s6p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_6ports.s6p,1382390,8b04fef09d1426dd4eefdc7836bdbc0af9cf38287768a899ddd9d883d55ac7c5,6,unsupported_v1,6,1001,0.0,60000000.0,50;50;50;50;50;50;50;50...,False,S23,2,3,-20.573462307586382,1.928654933106574e-15,1,
cst_example_6ports_V2_95b054fc,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\cst_example_6ports_V2.s6p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/cst_example_6ports_V2.s6p,1286336,bc3af2f33edc0a93863050c0ab6156b4a5178b4c40d02e50d928996fc2729e99,6,unsupported_v1,6,1001,0.0,60000000.0,15.063;15.063;15.063;15.063;15.063;15.063;15.063;15.063...,False,S21,2,1,-24.35770270544341,0.0,1,
designer_variable_coupler_ideal_20deg_e31d0708,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\designer_variable_coupler_ideal_20deg.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/designer_variable_coupler_ideal_20deg.s4p,1490,20a89f85a90b1cd13de5976d442a78bd9f19cf0c4e54d34fdd95cdc41f08ba5f,4,ok,4,1,1500000000.0,1500000000.0,50;50;50;50,True,S13,1,3,-0.13297055559888765,-311.8653803895918,1,
designer_variable_coupler_ideal_75deg_50e48e76,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\designer_variable_coupler_ideal_75deg.s4p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/designer_variable_coupler_ideal_75deg.s4p,1483,c98e59db743156d83c24883bc1580cc2f5ac0c6e34fdf0b58c9bc6e5a8937535,4,ok,4,1,1500000000.0,1500000000.0,50;50;50;50,True,S13,1,3,-2.0106669101426067,-318.0196957073414,1,
designer_wilkinson_splitter_4903aae4,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\designer_wilkinson_splitter.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/designer_wilkinson_splitter.s3p,933,d783e65fa57c0eb69cd721eec0439dd1b1b74926c1857e4908df3efbc9bff665,3,unsupported_v1,3,1,1000000000.0,1000000000.0,50;50;50,False,S12,1,2,-3.01029995663981,-305.970440190181,1,
fet_7e5200ad,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\fet.s2p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/fet.s2p,17600,64beec884bcb84d15e1f3fb60f4035acbd7e3c8f216a7f5baf8879efeca18ecd,2,ok,2,101,30000000000.0,40000000000.0,50;50;50;50;50;50;50;50...,True,S21,2,1,1.2454355779305353,-2.978838220082405,1,
hfss_18.2_4ce9f186,skrf_tests,C:\Users\sh3qm\code\ibis_comparison\results\sparam_conversion_quality_2026-06-08\inputs\skrf_tests\hfss_18.2.s3p,results/sparam_conversion_quality_2026-06-08/inputs/skrf_tests/hfss_18.2.s3p,7565,e1e21ed32443cae1bee34c4b97b2e5f7527ed7d151313ec2280dfd5d01e9f778,3,unsupported_v1,3,11,20000000.0,21000000.0,6.46754-0.00592542j;14.3712-0.00459214j;13.603-0.00457221j;6.46753-0.00591068j;14.3712-0.0045807j;13.603-0.00456083j;6.46752-0.00589604j;14.3712-0.00456935j...,False,S13,1,3,-2.912686331201529,-5.47961840310497,1,
