time_ns,input_v,pad_v
0.0,0.0,6.234929e-09
0.001,0.0,6.234913e-09
0.002,0.0,6.234897e-09
0.0052,0.0,6.234849e-09
0.01544,0.0,6.234734e-09
0.048208,0.0,6.234607e-09
0.1530656,0.0,6.23478e-09
0.4886099,0.0,6.234997e-09
1.562352,0.0,6.234874e-09
2.8123519999999997,0.0,6.234976e-09
4.062352,0.0,6.234889e-09
5.0,0.0,6.234962e-09
5.00015,0.494999999998681,0.007837734
5.00063,2.078999999999736,0.03072571
5.000723,2.3858999999985664,0.03424488
5.000831000000001,2.7423000000013684,0.03774678
5.001,3.3,0.04258477
5.001025,3.3,0.04244796
5.001035,3.3,0.04239493
5.001067,3.3,0.04222902
5.00117,3.3,0.04174452
5.001432,3.3,0.04075192
5.001759,3.3,0.03985919
5.002144,3.3,0.03907099
5.0025770000000005,3.3,0.03834813
5.003118,3.3,0.03755056
5.003825999999999,3.3,0.03658079
5.004811999999999,3.3,0.03529101
5.0063379999999995,3.3,0.03340216
5.009119999999999,3.3,0.03025165
5.010152000000001,3.3,0.02917276
5.0109770000000005,3.3,0.02834159
5.0116369999999995,3.3,0.02771808
5.0123299999999995,3.3,0.02712634
5.013064,3.3,0.0265331
5.013528,3.3,0.02616631
5.01398,3.3,0.02581016
5.0154250000000005,3.3,0.02467908
5.017031,3.3,0.0234306
5.019985,3.3,0.02116203
5.0210799999999995,3.3,0.02034108
5.023806,3.3,0.01837425
5.026484,3.3,0.01654839
5.030031999999999,3.3,0.01430617
5.034073,3.3,0.01199925
5.03908,3.3,0.009486724
5.045086,3.3,0.006925333
5.052334999999999,3.3,0.004395116
5.061261,3.3,0.001958083
5.072798000000001,3.3,-0.000385072
5.088587,3.3,-0.00267336
5.094487,3.3,-0.003269044
5.113367,3.3,-0.004759425
5.127851,3.3,-0.005634957
5.135572,3.3,-0.006011397
5.155889,3.3,-0.006716195
5.175332,3.3,-0.007060694
5.203903,3.3,-0.007269905
5.209275,3.3,-0.007280743
5.219168,3.3,-0.007302471
5.250826,3.3,-0.007337991
5.277447,3.3,-0.007343104
5.298373000000001,3.3,-0.00746086
5.309864,3.3,-0.007684588
5.318764000000001,3.3,-0.008037012
5.3459140000000005,3.3,-0.0101406
5.366436,3.3,-0.0118832
5.395499,3.3,-0.01313554
5.4178749999999996,3.3,-0.01310354
5.424200000000001,3.3,-0.01294677
5.434189,3.3,-0.0126434
5.460699,3.3,-0.01137993
5.485787,3.3,-0.009763964
5.520208,3.3,-0.007210643
5.555123,3.3,-0.004361624
5.585864,3.3,-0.001715172
5.618692,3.3,0.001036808
5.650914,3.3,0.003534357
5.674609,3.3,0.005321702
5.699156,3.3,0.007048754
5.718407999999999,3.3,0.007750295
5.734259,3.3,0.007564194
5.737407999999999,3.3,0.007455202
5.741878,3.3,0.007284697
5.756182,3.3,0.006770283
5.7717480000000005,3.3,0.006418535
5.7777080000000005,3.3,0.006441211
5.79678,3.3,0.007224109
5.816707,3.3,0.009122153
5.83465,3.3,0.01160395
5.853627,3.3,0.01483211
5.8755880000000005,3.3,0.01914878
5.902543,3.3,0.02509184
5.934979,3.3,0.0330175
5.976289,3.3,0.04430609
6.030050999999999,3.3,0.0614831
6.0936129999999995,3.3,0.08725808
6.142215,3.3,0.1128862
6.191661,3.3,0.1465398
6.241251,3.3,0.1907413
6.2988480000000004,3.3,0.2623478
6.3407029999999995,3.3,0.3307869
6.355183,3.3,0.3569246
6.366676999999999,3.3,0.3780056
6.403456,3.3,0.4447731
6.437719,3.3,0.503943
6.448146,3.3,0.521131
6.48151,3.3,0.5741217
6.505564,3.3,0.6104966
6.513965,3.3,0.6227027
6.540845,3.3,0.6600322
6.571642,3.3,0.69982
6.583031,3.3,0.7138155
6.619474,3.3,0.7565173
6.653322,3.3,0.793686
6.694409,3.3,0.8362522
6.734745,3.3,0.8758185
6.781944,3.3,0.9198572
6.832212999999999,3.3,0.964516
6.890473999999999,3.3,1.013797
6.955558999999999,3.3,1.06603
7.0319769999999995,3.3,1.12379
7.122753,3.3,1.187392
7.238755,3.3,1.260015
7.374890000000001,3.3,1.331309
7.403961,3.3,1.344478
7.496987,3.3,1.382183
7.57036,3.3,1.407536
7.629804,3.3,1.425632
7.675878,3.3,1.438332
7.717441000000001,3.3,1.448899
7.742646,3.3,1.454938
7.7678519999999995,3.3,1.460697
7.798717,3.3,1.467427
7.829583,3.3,1.473781
7.875634,3.3,1.482661
