time_ns,input_v,ku,kd,pad_v
0.0,0.0,0.0,1.0,1.370752e-09
0.001,0.0,0.0,1.0,1.370752e-09
0.002,0.0,0.0,1.0,1.370752e-09
0.0052,0.0,0.0,1.0,1.370752e-09
0.01544,0.0,0.0,1.0,1.370752e-09
0.048208,0.0,0.0,1.0,1.370752e-09
0.1530656,0.0,0.0,1.0,1.370752e-09
0.4886099,0.0,0.0,1.0,1.370752e-09
1.562352,0.0,0.0,1.0,1.370752e-09
2.8123519999999997,0.0,0.0,1.0,1.370752e-09
4.062352,0.0,0.0,1.0,1.370752e-09
5.0,0.0,0.0,1.0,1.370752e-09
5.000051,0.16830000000002052,0.0,1.0,1.370752e-09
5.000216,0.712799999999742,0.0,1.0,1.370752e-09
5.000342,1.128599999999103,0.0,1.0,1.370752e-09
5.000545,1.7984999999987248,0.0002589043,0.9997547,5.94152e-07
5.001,3.3,0.0006440249,0.9993831,2.907422e-06
5.001035,3.3,0.0006736487,0.9993545,3.172564e-06
5.0010449999999995,3.3,0.0006821155,0.9993464,3.24929e-06
5.001077,3.3,0.0007092092,0.9993202,3.499652e-06
5.0011790000000005,3.3,0.000795909,0.9992366,4.365793e-06
5.001507,3.3,0.001073349,0.9989689,7.800637e-06
5.002556,3.3,0.001961155,0.9981123,2.551078e-05
5.005911,3.3,0.004802136,0.9953712,0.0001486883
5.016649,3.3,0.004185237,0.9963915,0.0006186296
5.026893,3.3,0.002036787,1.000572,0.0008399005
5.039579,3.3,0.001585309,1.000122,0.0008939768
5.055367,3.3,0.001311186,0.999148,0.0008891646
5.074487,3.3,0.0009981774,0.9996753,0.0008310368
5.10782,3.3,0.0007763174,0.9996742,0.0006906097
5.141153,3.3,0.0005324155,0.9994714,0.0005500472
5.174487,3.3,0.0003667746,0.9993337,0.0004175109
5.20782,3.3,0.0002916104,0.9992712,0.0003134471
5.241153000000001,3.3,0.0002738204,0.9992565,0.0002455674
5.274487000000001,3.3,0.0001968353,0.9991925,0.0001963744
5.3078199999999995,3.3,-0.0007848002,0.9994464,1.82078e-05
5.341152999999999,3.3,-0.001292281,1.000851,-0.0002884965
5.374487,3.3,-0.001677444,0.9995753,-0.0005757853
5.40782,3.3,-0.002150209,0.9991818,-0.0008480752
5.441153,3.3,-0.002097503,1.002254,-0.001049181
5.474487,3.3,-0.002399813,0.9999454,-0.001189221
5.50782,3.3,-0.002682884,0.9997096,-0.001346311
5.5411529999999996,3.3,-0.002998748,0.9994465,-0.001513872
5.5744869999999995,3.3,-0.003450238,1.000307,-0.00171076
5.60782,3.3,-0.003979435,0.9996009,-0.001953613
5.641153,3.3,-0.00447049,0.9996016,-0.002226227
5.674487,3.3,-0.005017707,0.9997071,-0.002516633
5.70782,3.3,-0.006662972,1.001508,-0.002981038
5.741153,3.3,-0.007972786,0.9997481,-0.003646045
5.774487,3.3,-0.01042978,1.000841,-0.004531701
5.80782,3.3,-0.01263714,1.003373,-0.005657307
5.841153,3.3,-0.01836958,1.001717,-0.007379307
5.874487,3.3,-0.02295883,1.000784,-0.009755916
5.90782,3.3,-0.01928055,1.005403,-0.01111205
5.941153,3.3,-0.01635722,1.00162,-0.01086655
5.971165,3.3,-0.0134552,1.001426,-0.00998461
6.003259,3.3,-0.01038685,1.001163,-0.008636794
6.036593,3.3,-0.004410806,1.004256,-0.006597795
6.069926000000001,3.3,0.00195172,1.002902,-0.003769197
6.1032589999999995,3.3,0.008314607,1.001993,-0.000480191
6.1365929999999995,3.3,0.01582234,1.001876,0.003223578
6.169926,3.3,0.02308562,1.002131,0.007284347
6.203259,3.3,0.03035523,0.9997181,0.01150302
6.236593,3.3,0.0376386,0.9992601,0.01580976
6.269926,3.3,0.04487157,0.9980251,0.02015846
6.303259,3.3,0.05210252,0.9936934,0.02453813
6.336593,3.3,0.05931047,0.9901758,0.0289462
6.3699259999999995,3.3,0.06371184,0.9793019,0.03300689
6.403259,3.3,0.06834335,0.9709229,0.03655468
6.436593,3.3,0.07083317,0.9539226,0.03961678
6.468967999999999,3.3,0.06596754,0.9176167,0.04121195
6.500662,3.3,0.0770287,0.877121,0.04344359
6.525567,3.3,0.08133101,0.8090751,0.04690029
6.545967,3.3,0.08553861,0.7706941,0.0502074
6.562596,3.3,0.08603832,0.6980212,0.05311327
6.5757769999999995,3.3,0.08983298,0.667385,0.05564136
6.587052,3.3,0.09075983,0.6268421,0.05798459
6.598509,3.3,0.09125995,0.5833796,0.06042157
6.613859000000001,3.3,0.09324232,0.5425718,0.06378961
6.627507,3.3,0.09419003,0.5018111,0.06687879
6.6416699999999995,3.3,0.09513663,0.4634227,0.07014072
6.661178,3.3,0.09823584,0.4139025,0.074902
6.691248,3.3,0.1008028,0.3457673,0.08274919
6.721698,3.3,0.1075918,0.2830412,0.09166984
6.755032,3.3,0.1143465,0.2400476,0.1027306
6.781419,3.3,0.1180101,0.1995688,0.1119726
6.804151,3.3,0.1233068,0.1842525,0.1202154
6.825105000000001,3.3,0.1322381,0.1565165,0.1287001
6.842874,3.3,0.1450764,0.1426057,0.1374142
6.861435,3.3,0.1524772,0.1292115,0.1476661
6.882971,3.3,0.160711,0.1129854,0.1601373
6.908796000000001,3.3,0.1698521,0.09441944,0.1757544
6.917129,3.3,0.1722396,0.08672971,0.1809176
6.923796,3.3,0.1743535,0.08174407,0.1850827
6.9291290000000005,3.3,0.1756508,0.07637484,0.1884343
6.933332,3.3,0.1782207,0.07201254,0.1911227
6.936694,3.3,0.1850834,0.07034289,0.1934161
6.945554,3.3,0.216652,0.07700779,0.2010148
6.948327,3.3,0.2222114,0.07739399,0.2038456
6.956105,3.3,0.2322621,0.07438091,0.2121887
6.968117,3.3,0.2436259,0.06650191,0.2257559
6.980474,3.3,0.2544901,0.05825156,0.2403073
7.001219,3.3,0.2795926,0.05204134,0.2664357
7.022223,3.3,0.2985829,0.05186107,0.2943769
7.042292,3.3,0.3176284,0.04398063,0.3218371
7.063986,3.3,0.3528407,0.03622039,0.3543622
7.085875000000001,3.3,0.376069,0.02652388,0.3901421
7.103493,3.3,0.3997929,0.0285147,0.4200152
7.124445000000001,3.3,0.4276066,0.03039933,0.4567449
7.146473,3.3,0.4233539,0.02672128,0.4930065
7.150294,3.3,0.426152,0.0262294,0.4987647
7.157165,3.3,0.431546,0.0249488,0.5091074
7.172998,3.3,0.4437535,0.02259696,0.5328785
